5149,3552
7364,8419
9636,7364
7587,3357
9649,9952
6054,3674
9857,8419
6449,6054
5847,7126
3552,2158
2581,7560
4516,2662
3773,2680
6042,9224
7126,2941
3993,7542
3726,7597
9998,4516
6054,9538
3357,3934
1969,5548
7201,9793
9952,7201
9123,2324
5044,9224
4227,2662
2662,9508
2324,6676
7584,4502
6042,3674
8582,3571
7659,3773
3993,1859
2460,3993
2581,2010
2324,3674
2514,4502
5679,7659
7126,6188
6374,2988
3552,8827
4516,2010
5847,9224
2680,2460
8827,6676
9793,9385
2514,8419
2362,2662
6054,6120
9649,5852
7560,8192
1945,9998
3944,8658
4502,2988
6374,5548
8225,3873
7238,3993
3944,6120
8658,6112
1125,4502
1969,7908
7584,9998
3428,8225
2010,7560
9123,9224
2158,3934
8648,4227
7584,8582
5847,9399
5679,4418
2324,4929
2632,1945
8582,9385
7560,9649
3552,9538
4502,7908
3428,6120
4986,1973
8471,4227
6815,4929
2158,4516
3993,9285
9952,3428
8827,3428
3726,9123
9508,4986
4929,6676
6415,6042
9636,2581
8658,5679
1278,4502
6415,8471
1969,7761
7584,8192
3055,6449
6120,9399
3571,6188
9123,2010
7597,7126
7238,2632
9538,4418
9399,2689
6188,7560
8827,2211
1766,9399
2514,8658
6188,7542
7761,1973
2689,6415
3934,7659
4227,6054
6120,2581
9285,3571
2988,8225
8827,6415
6449,6815
4986,6449
8214,2988
1610,1622
8658,7697
9123,3726
2988,1945
9649,7597
3944,5149
3934,2324
9385,5852
7597,3873
2941,3773
5149,7542
7908,1278
1278,6449
2632,2689
6415,6815
1945,8192
6815,4748
6042,3944
7584,6120
3674,9952
3552,7238
1610,1125
7584,5847
1278,6676
1969,6415
7126,4477
1610,7659
9538,2514
2211,8648
4748,6120
9857,7364
2581,3873
7238,7697
6054,9385
3993,9123
9793,1125
2514,8113
2632,6054
2514,2680
4305,3934
8214,1859
9636,7609
9538,1622
7542,3055
4477,9636
7542,9952
2460,2662
9636,3873
3025,6120
9793,7560
3873,6042
3726,2941
2581,4477
7126,3055
3944,4477
3552,3873
4477,7697
2460,8471
4748,1859
3873,1610
1969,6815
8214,3025
4502,1969
6112,9952
8419,6188
3055,6415
1945,3726
2689,1622
3571,4502
6815,6112
2680,7761
7364,8827
1973,2632
4986,7584
8658,7659
7697,2988
9224,3025
8582,6415
8471,2689
5044,6415
7201,6374
3993,3934
7542,7659
2211,4748
7587,8648
2324,7697
8582,4305
2362,5548
9636,8648
9793,3428
2689,2362
4929,1610
7364,9224
2581,3993
3552,9998
3934,4929
2632,4929
8419,1969
8648,6449
2460,5175
7761,3428
9952,4418
1859,6374
8225,6188
7201,3993
3674,8225
9123,1859
2362,5149
7126,7761
4477,2460
9636,9793
1859,1969
9636,2680
2581,5548
9285,6112
4477,9385
8214,8113
2362,1859
4227,5548
7542,4305
2632,3428
8658,4418
2941,2680
2324,7908
7697,9508
7584,6374
1610,8827
7126,7364
7908,2662
8192,7659
2514,7560
3552,5548
3993,7597
6449,8428
6054,1610
7126,7560
1969,5044
8225,4477
9636,9857
3726,2662
7761,9649
2988,3934
5548,1969
5847,9123
7597,3571
7584,1622
8827,9224
3571,8428
5175,7908
2988,9857
2362,9224
9857,9998
4516,3674
6815,9224
7659,9385
7609,3944
2632,6815
2662,9123
5548,2941
8428,4986
4418,1125
9538,7908
1859,7587
7542,9123
9123,9636
6120,7587
9649,4227
2680,7597
2581,3055
9508,7697
8827,2988
9538,7587
6120,9649
9224,8214
7238,7587
8419,4305
9649,8419
7201,2680
9649,9508
1766,9123
7364,4516
2662,7609
